state,year,vocationaleducation,highereducation,temporarywork,visitor,workingholiday,student,other,total
Australia,2005,7990,32750,17100,35770,12930,25440,9320,141300
Australia,2006,10500,42040,27730,36100,17080,20550,7580,161580
Australia,2007,19970,57940,35850,37590,21630,25810,6780,205570
Australia,2008,31420,73150,44010,49990,29120,29160,6920,263770
Australia,2009,53570,72080,44060,42340,34300,27110,5720,279180
Australia,2010,25710,56500,26270,40260,33030,24450,5330,211550
Australia,2011,11000,43020,35600,41710,43460,21330,6450,202570
Australia,2012,10150,41870,47880,42720,54620,21250,7100,225590
Australia,2013,8460,56500,43460,47920,59250,21260,7220,244070
Australia,2014,9740,79140,32870,44440,54190,25450,7330,253160
Australia,2015,11180,85070,31490,50240,51600,25870,7480,262930
Australia,2016,15270,89170,30490,60550,50100,27690,8490,281760
Australia,2017,16300,101440,32690,72270,50330,31670,10120,314820
Australia,2018,19650,106520,26940,79430,50990,31460,12320,327310
Australia,2019,22650,111310,32600,91220,49090,30390,13410,350670
Australia,2020,11420,75950,22840,117740,43950,23070,18680,313650
Australia,2021,120,730,8950,7700,1020,670,10390,29580
Australia,2022,19970,96880,22470,39010,13480,20120,27960,239890
New South Wales,2005,3790,11440,6330,15530,7060,9620,3070,56840
New South Wales,2006,4870,14830,7820,14910,9020,7410,2540,61400
New South Wales,2007,9390,20110,9590,15530,10700,9980,2390,77690
New South Wales,2008,14980,23690,11790,20600,13020,11950,2550,98580
New South Wales,2009,18540,22720,10410,17330,13980,10020,1720,94720
New South Wales,2010,8650,18870,7500,15430,12840,8450,1780,73520
New South Wales,2011,4970,14370,10990,15470,15560,7180,1950,70490
New South Wales,2012,4600,14340,12860,15160,15990,6910,2030,71890
New South Wales,2013,3750,20460,13030,18980,17750,6700,2160,82830
New South Wales,2014,4460,27380,11900,16700,17560,7900,2470,88370
New South Wales,2015,5420,31120,12100,18280,17310,8420,2540,95190
New South Wales,2016,6710,32050,12900,21450,18070,9410,2830,103420
New South Wales,2017,7260,36900,14100,27310,19440,11510,3540,120060
New South Wales,2018,9180,38680,11380,30860,19270,11680,4090,125140
New South Wales,2019,10630,37440,13780,33820,17700,10600,4420,128390
New South Wales,2020,4360,24240,9430,40660,15890,7600,4880,107060
New South Wales,2021,60,320,4560,3700,560,260,4180,13640
New South Wales,2022,10390,37810,9170,14010,5670,6810,7950,91810
Victoria,2005,2300,10060,4130,7270,1800,7530,1550,34640
Victoria,2006,3630,14170,5600,7170,2310,5580,1350,39810
Victoria,2007,7130,21760,7220,7940,2970,6610,1210,54840
Victoria,2008,10130,26100,8450,10230,4030,7300,1430,67670
Victoria,2009,20180,24720,8270,8910,4920,7070,1350,75420
Victoria,2010,8750,17580,5940,9430,5490,6620,1300,55110
Victoria,2011,3010,12740,8380,9780,7960,5800,1810,49480
Victoria,2012,2530,12660,9070,10740,10330,5750,2000,53080
Victoria,2013,1970,17870,8060,11530,11610,5600,2150,58790
Victoria,2014,2070,25860,7180,11970,11260,7110,1890,67340
Victoria,2015,2340,28460,7570,14730,11200,7110,2100,73510
Victoria,2016,3530,30640,7670,19190,11460,7930,2530,82950
Victoria,2017,3900,36150,9040,22590,12260,8950,3230,96120
Victoria,2018,5580,38430,7620,25930,13160,9020,4020,103760
Victoria,2019,5590,41990,9240,29110,12870,8950,4440,112190
Victoria,2020,3080,27390,5850,38240,11720,6670,6040,98990
Victoria,2021,20,160,1400,1480,160,130,1040,4390
Victoria,2022,4800,35080,5750,12710,3310,6210,7630,75490
Queensland,2005,850,4750,2380,6200,2230,4040,2020,22470
Queensland,2006,860,5520,5400,6760,3350,3730,1410,27030
Queensland,2007,1550,6670,7730,6550,4560,4490,1190,32740
Queensland,2008,3200,10880,8920,8970,6620,4850,1140,44580
Queensland,2009,7730,10960,9560,7690,8410,5080,1140,50570
Queensland,2010,4030,8950,4720,7390,7760,4570,1020,38440
Queensland,2011,1340,7350,5910,7410,9130,3960,1310,36410
Queensland,2012,1210,6480,9090,7130,11800,4040,1440,41190
Queensland,2013,1180,8210,7840,7600,13170,4260,1090,43350
Queensland,2014,1210,13120,5120,6730,11630,5110,1290,44210
Queensland,2015,1550,10880,4540,7640,11200,5140,1140,42090
Queensland,2016,2480,10900,3980,9120,10710,5390,1190,43770
Queensland,2017,2740,12120,4210,10490,10320,6450,1420,47750
Queensland,2018,2580,13010,3330,10500,10550,6360,1880,48210
Queensland,2019,3960,13760,4230,12840,10210,6460,1870,53330
Queensland,2020,2250,9710,3390,16420,8370,5260,3170,48570
Queensland,2021,20,130,1320,1160,180,130,2430,5370
Queensland,2022,2360,6250,3050,5420,2700,3750,4900,28430
South Australia,2005,240,2380,740,1200,250,1540,590,6940
South Australia,2006,240,3050,1520,1300,320,1390,570,8390
South Australia,2007,360,3860,1700,1280,470,1870,530,10070
South Australia,2008,860,4570,1910,1710,570,1740,510,11870
South Australia,2009,2650,5120,2070,1480,690,1620,340,13970
South Australia,2010,1290,4220,1280,1370,710,1600,320,10790
South Australia,2011,400,3090,1370,1600,880,1440,300,9080
South Australia,2012,440,2930,1630,1670,1550,1480,300,10000
South Australia,2013,320,3400,1640,1680,1890,1490,390,10810
South Australia,2014,360,4370,1430,1790,1820,1900,290,11960
South Australia,2015,330,5050,1200,1940,1610,1720,330,12180
South Australia,2016,600,5180,1040,2150,1390,1640,370,12370
South Australia,2017,630,5360,930,2310,1210,1510,430,12380
South Australia,2018,740,5530,1010,2630,1070,1520,560,13060
South Australia,2019,820,6330,1060,3910,1120,1520,680,15440
South Australia,2020,570,5800,720,6050,1050,1330,1080,16600
South Australia,2021,10,40,340,290,30,30,720,1460
South Australia,2022,950,6250,860,1970,340,1200,1420,12990
Western Australia,2005,700,3150,2820,4390,1350,1860,1680,15950
Western Australia,2006,730,3250,6250,4740,1820,1690,1410,19890
Western Australia,2007,1310,4020,8140,5180,2510,1960,1230,24350
Western Australia,2008,1890,6040,11260,7030,4210,2360,1020,33810
Western Australia,2009,3900,6320,11850,5530,5520,2390,900,36410
Western Australia,2010,2580,4570,5450,5360,5390,2230,660,26240
Western Australia,2011,1080,3650,7660,6070,8920,2050,780,30210
Western Australia,2012,1140,3320,13140,6620,12790,2010,960,39980
Western Australia,2013,1030,4300,11100,6600,12510,2030,960,38530
Western Australia,2014,1390,5290,5920,5760,9690,2290,980,31320
Western Australia,2015,1340,5670,4690,6040,8330,2270,850,29190
Western Australia,2016,1680,6480,3690,6860,6700,2170,1020,28600
Western Australia,2017,1460,6550,3120,7550,5360,2030,910,26980
Western Australia,2018,1190,6100,2650,7160,5220,1640,950,24910
Western Australia,2019,1170,7710,3200,8530,5560,1820,1130,29120
Western Australia,2020,860,6210,2790,12050,5870,1420,1490,30690
Western Australia,2021,10,30,1150,810,80,50,890,3020
Western Australia,2022,820,4350,3000,3340,1110,1140,2440,16200
Tasmania,2005,30,420,100,320,50,240,120,1280
Tasmania,2006,50,450,270,300,60,220,70,1420
Tasmania,2007,90,540,270,250,70,220,30,1470
Tasmania,2008,80,670,290,390,90,250,40,1810
Tasmania,2009,170,680,360,340,110,200,40,1900
Tasmania,2010,80,680,220,300,140,170,50,1640
Tasmania,2011,40,490,270,280,150,170,50,1450
Tasmania,2012,40,640,230,280,380,170,30,1770
Tasmania,2013,30,580,260,310,450,210,60,1900
Tasmania,2014,30,740,150,290,460,200,50,1920
Tasmania,2015,30,1120,180,350,510,260,50,2500
Tasmania,2016,30,970,210,420,480,290,60,2460
Tasmania,2017,40,1020,190,520,490,250,60,2570
Tasmania,2018,90,1230,200,590,470,280,150,3010
Tasmania,2019,110,1360,320,740,490,240,220,3480
Tasmania,2020,110,830,130,1080,380,200,1350,4080
Tasmania,2021,10,10,60,70,10,20,620,800
Tasmania,2022,180,920,200,380,60,170,1550,3460
Northern Territory,2005,10,50,240,470,110,50,140,1070
Northern Territory,2006,20,90,450,520,110,40,120,1350
Northern Territory,2007,30,120,710,400,230,60,100,1650
Northern Territory,2008,50,130,830,500,410,80,100,2100
Northern Territory,2009,80,190,940,480,490,60,120,2360
Northern Territory,2010,70,160,630,390,480,90,80,1900
Northern Territory,2011,30,140,540,510,620,70,110,2020
Northern Territory,2012,40,220,910,510,1380,70,180,3310
Northern Territory,2013,30,270,880,580,1500,90,190,3540
Northern Territory,2014,50,350,690,600,1460,90,130,3370
Northern Territory,2015,30,470,620,600,1180,90,180,3170
Northern Territory,2016,50,520,550,650,1040,80,230,3120
Northern Territory,2017,50,470,560,710,980,90,210,3070
Northern Territory,2018,50,330,370,640,890,60,200,2540
Northern Territory,2019,160,290,310,930,880,100,250,2920
Northern Territory,2020,60,250,180,1060,480,70,330,2430
Northern Territory,2021,0,20,60,70,10,10,390,560
Northern Territory,2022,140,360,240,380,220,80,1480,2900
Australian Capital Territory,2005,60,510,350,390,80,580,160,2130
Australian Capital Territory,2006,90,690,420,400,100,500,120,2320
Australian Capital Territory,2007,130,860,490,480,120,620,100,2800
Australian Capital Territory,2008,230,1070,560,570,170,630,140,3370
Australian Capital Territory,2009,330,1360,600,580,190,670,120,3850
Australian Capital Territory,2010,260,1480,530,580,230,730,120,3930
Australian Capital Territory,2011,130,1190,480,600,250,660,150,3460
Australian Capital Territory,2012,170,1290,960,620,400,810,170,4420
Australian Capital Territory,2013,150,1410,650,640,370,880,230,4330
Australian Capital Territory,2014,180,2030,510,600,310,850,240,4720
Australian Capital Territory,2015,150,2310,580,670,270,860,280,5120
Australian Capital Territory,2016,200,2430,450,700,260,780,250,5070
Australian Capital Territory,2017,210,2870,550,800,280,890,330,5930
Australian Capital Territory,2018,230,3230,380,1120,350,900,470,6680
Australian Capital Territory,2019,210,2420,480,1350,260,700,410,5830
Australian Capital Territory,2020,120,1530,350,2190,190,520,340,5240
Australian Capital Territory,2021,0,20,60,120,10,50,130,390
Australian Capital Territory,2022,320,2640,200,800,70,760,590,5380
