state,year,vocationaleducation,highereducation,temporarywork,visitor,workingholiday,student,family,skill,specialeligibility,newzealand,australian,other,total
Australia,2005,7990,32750,17100,35770,12930,25440,28430,35540,13580,37330,69260,12970,329090
Australia,2006,10500,42040,27730,36100,17080,20550,30400,42750,12320,38760,72610,11220,362060
Australia,2007,19970,57940,35850,37590,21630,25810,32480,47540,12400,44420,75300,10550,421480
Australia,2008,31420,73150,44010,49990,29120,29160,33100,51600,9470,51680,75830,10860,489390
Australia,2009,53570,72080,44060,42340,34300,27110,35060,48360,11630,46890,80440,9720,505560
Australia,2010,25710,56500,26270,40260,33030,24450,35580,41140,9920,38630,78870,9320,419680
Australia,2011,11000,43020,35600,41710,43460,21330,33730,33060,9180,53610,78870,10770,415340
Australia,2012,10150,41870,47880,42720,54620,21250,34770,40980,7700,61070,76070,11350,450430
Australia,2013,8460,56500,43460,47920,59250,21260,35230,38020,8540,54120,77100,12180,462040
Australia,2014,9740,79140,32870,44440,54190,25450,35510,40330,13170,37770,72180,12670,457460
Australia,2015,11180,85070,31490,50240,51600,25870,32050,42240,11690,31750,71680,12990,457850
Australia,2016,15270,89170,30490,60550,50100,27690,31590,41850,11080,33700,75800,14560,481850
Australia,2017,16300,101440,32690,72270,50330,31670,29680,46140,24120,32330,79280,16390,532640
Australia,2018,19650,106520,26940,79430,50990,31460,26280,43320,12190,30380,77160,18450,522770
Australia,2019,22650,111310,32600,91220,49090,30390,24290,38230,15340,30540,78900,20940,545500
Australia,2020,11420,75950,22840,117740,43950,23070,20300,27280,13000,22220,96410,29000,503180
Australia,2021,120,730,8950,7700,1020,670,15650,14620,590,16950,61370,16480,144850
Australia,2022,19970,96880,22470,39010,13480,20120,24790,27240,7340,23230,61160,36480,392170
New South Wales,2005,3790,11440,6330,15530,7060,9620,12370,11690,4420,11140,23860,4420,121670
New South Wales,2006,4870,14830,7820,14910,9020,7410,13250,12410,4410,10870,25190,3900,128890
New South Wales,2007,9390,20110,9590,15530,10700,9980,13530,12890,4200,11200,26070,3760,146950
New South Wales,2008,14980,23690,11790,20600,13020,11950,13810,13530,2950,11370,26170,4020,167880
New South Wales,2009,18540,22720,10410,17330,13980,10020,14230,12730,4080,10090,27840,3180,165150
New South Wales,2010,8650,18870,7500,15430,12840,8450,13950,10040,3200,9490,28130,3250,139800
New South Wales,2011,4970,14370,10990,15470,15560,7180,13090,9040,2840,12400,28420,3500,137830
New South Wales,2012,4600,14340,12860,15160,15990,6910,13120,9440,2030,11680,27090,3630,136850
New South Wales,2013,3750,20460,13030,18980,17750,6700,13280,8990,2790,11310,27520,3960,148520
New South Wales,2014,4460,27380,11900,16700,17560,7900,13160,11040,4480,8930,25750,4540,153800
New South Wales,2015,5420,31120,12100,18280,17310,8420,11770,12290,4770,7740,25690,4560,159470
New South Wales,2016,6710,32050,12900,21450,18070,9410,11580,13230,3340,9230,26460,5020,169450
New South Wales,2017,7260,36900,14100,27310,19440,11510,11070,16190,10720,8730,27580,5810,196620
New South Wales,2018,9180,38680,11380,30860,19270,11680,9720,15380,4390,7300,26370,6280,190490
New South Wales,2019,10630,37440,13780,33820,17700,10600,8830,13000,6250,7130,27080,7090,193350
New South Wales,2020,4360,24240,9430,40660,15890,7600,7330,9290,5290,5110,33840,8640,171680
New South Wales,2021,60,320,4560,3700,560,260,7580,7250,170,7460,31060,7220,70200
New South Wales,2022,10390,37810,9170,14010,5670,6810,9270,8770,2990,5440,23660,11210,145200
Victoria,2005,2300,10060,4130,7270,1800,7530,7850,9330,3940,7020,16410,2430,80070
Victoria,2006,3630,14170,5600,7170,2310,5580,8190,11080,3440,7250,17210,2180,87810
Victoria,2007,7130,21760,7220,7940,2970,6610,8990,12620,3380,8300,17230,2140,106290
Victoria,2008,10130,26100,8450,10230,4030,7300,9180,14290,2740,9090,17590,2390,121520
Victoria,2009,20180,24720,8270,8910,4920,7070,9770,13660,3040,8620,18860,2340,130360
Victoria,2010,8750,17580,5940,9430,5490,6620,10050,11580,2650,7950,18660,2320,107020
Victoria,2011,3010,12740,8380,9780,7960,5800,9790,9710,2440,11490,18760,2950,102810
Victoria,2012,2530,12660,9070,10740,10330,5750,10040,10810,2180,12870,19170,3120,109270
